metric,breakdown_category,breakdown_category,felony,,Boone Adult Probation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,YEAR TO DATE,,,,,,,,,,,,,,,
,,,,I. INTAKES,,,,,,,,,,,,, Totals,,,,,,,,,,,,,,,
full,intakes,intakes,all,A. Intakes- Full,30,16,32,29,26,17,22,21,26,18,28,25,290,,,,,,,,,,,,,,,
partial,intakes,intakes,all,B. Intakes- Partial,5,4,3,3,1,0,2,6,5,5,3,1,38,,,,,,,,,,,,,,,
,,,,Total Intakes:,35,20,35,32,27,17,24,27,31,23,31,26,328,,,,,,,,,,,,,,,
,,,,II. DEMOGRAPHICS OF INTAKES,,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
,,,,A. Gender:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
male,gender,demographics of intakes,felony,1a. Male/Felony,13,9,17,6,11,9,10,13,11,8,14,11,132,,,,,,,,,,,,,,,
male,gender,demographics of intakes,other,1b. Male/Other,11,4,7,19,9,4,5,6,11,7,9,6,98,,,,,,,,,,,,,,,
female,gender,demographics of intakes,felony,2a. Female/Felony,7,4,8,3,5,1,4,6,5,7,5,7,62,,,,,,,,,,,,,,,
female,gender,demographics of intakes,other,2b. Female/Other,4,3,3,4,2,3,5,2,4,1,3,2,36,,,,,,,,,,,,,,,
,,,,3. Total:,35,20,35,32,27,17,24,27,31,23,31,26,328,,,,,,,,,,,,,,,
,,,,B. AGE                         ,a. FELONY,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
<17,age,demographics of intakes,felony,1)  17< ,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
18-20,age,demographics of intakes,felony,2)  18-20,0,1,2,0,2,0,1,2,1,1,1,1,12,,,,,,,,,,,,,,,
21-30,age,demographics of intakes,felony,3)  21-30,7,5,8,3,4,3,3,5,7,6,9,3,63,,,,,,,,,,,,,,,
31-40,age,demographics of intakes,felony,4)  31-40,7,4,4,4,4,4,9,7,4,7,6,8,68,,,,,,,,,,,,,,,
41-49,age,demographics of intakes,felony,5)  41-49,3,1,6,1,4,1,1,2,3,1,2,5,30,,,,,,,,,,,,,,,
50<,age,demographics of intakes,felony,6)  50>,3,2,5,1,2,2,0,3,1,0,1,1,21,,,,,,,,,,,,,,,
,,,,Total Felony:,20,13,25,9,16,10,14,19,16,15,19,18,194,,,,,,,,,,,,,,,
,,,,B. AGE                         ,b. OTHER,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
<17,age,demographics of intakes,other,1)  17<,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
18-20,age,demographics of intakes,other,2)  18-20,1,0,0,0,0,0,0,1,2,1,2,1,8,,,,,,,,,,,,,,,
21-30,age,demographics of intakes,other,3)  21-30,4,2,5,8,4,2,6,1,3,3,6,1,45,,,,,,,,,,,,,,,
31-40,age,demographics of intakes,other,4)  31-40,4,5,3,6,4,4,2,3,5,1,0,1,38,,,,,,,,,,,,,,,
41-49,age,demographics of intakes,other,5)  41-49,4,0,1,9,2,1,0,1,3,1,3,2,27,,,,,,,,,,,,,,,
50<,age,demographics of intakes,other,6)  50>,2,0,1,0,1,0,2,2,2,2,1,3,16,,,,,,,,,,,,,,,
,,,,Total Other:,15,7,10,23,11,7,10,8,15,8,12,8,134,,,,,,,,,,,,,,,
,,,,7) Total Age:,35,20,35,32,27,17,24,27,31,23,31,26,328,,,,,,,,,,,,,,,
,,,,C. Race/Ethnicity    ,a. FELONY,,,,,,,,,,,,Totals,,,,,,,,,,,,,,,
american indian,race/ethnicity,demographics of intakes,felony,1) American Indian,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
asian,race/ethnicity,demographics of intakes,felony,2) Asian,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,
black,race/ethnicity,demographics of intakes,felony,3) Black,2,3,1,2,3,1,1,2,3,2,2,1,23,,,,,,,,,,,,,,,
hispanic,race/ethnicity,demographics of intakes,felony,4) Hispanic,9,2,8,3,1,5,7,5,3,8,8,6,65,,,,,,,,,,,,,,,
white,race/ethnicity,demographics of intakes,felony,5) White ,9,8,16,4,12,4,6,11,10,5,9,11,105,,,,,,,,,,,,,,,
